3.56,58.3333
3.57,25
3.58,16.6667
3.59,29.1667
3.6,29.1667
3.61,50
3.62,20.8333
3.63,12.5
3.64,25
3.65,29.1667
3.66,50
3.67,45.8333
3.68,20.8333
3.69,20.8333
3.7,29.1667
3.71,12.5
3.72,20.8333
3.73,16.6667
3.74,25
3.75,20.8333
3.76,25
3.77,20.8333
3.78,37.5
3.79,29.1667
3.8,8.33333
3.81,25
3.82,12.5
3.83,33.3333
3.84,29.1667
3.85,29.1667
3.86,29.1667
3.87,8.33333
3.88,20.8333
3.89,33.3333
3.9,12.5
3.91,20.8333
3.92,25
3.93,8.33333
3.94,4.16667
3.95,8.33333
3.96,20.8333
3.97,20.8333
3.98,4.16667
3.99,16.6667
4,8.33333
4.01,25
4.02,8.33333
4.03,20.8333
4.04,4.16667
4.05,12.5
4.06,12.5
4.07,16.6667
4.08,8.33333
4.09,16.6667
4.1,8.33333
4.11,16.6667
4.12,20.8333
4.13,12.5
4.14,16.6667
4.15,16.6667
4.16,12.5
4.17,8.33333
4.18,4.16667
4.19,12.5
4.2,0
4.21,12.5
4.22,12.5
4.23,16.6667
4.24,8.33333
4.25,12.5
4.26,8.33333
4.27,8.33333
4.28,16.6667
4.29,16.6667
4.3,4.16667
4.31,20.8333
4.32,8.33333
4.33,8.33333
4.34,12.5
4.35,12.5
4.36,25
4.37,8.33333
4.38,8.33333
4.39,16.6667
4.4,4.16667
4.41,8.33333
4.42,4.16667
4.43,8.33333
4.44,8.33333
4.45,4.16667
4.46,12.5
4.47,4.16667
4.48,20.8333
4.49,0
4.5,12.5
4.51,8.33333
4.52,8.33333
4.53,4.16667
4.54,16.6667
4.55,12.5
4.56,4.16667
4.57,4.16667
4.58,12.5
4.59,12.5
4.6,4.16667
4.61,8.33333
4.62,8.33333
4.63,12.5
4.64,8.33333
4.65,8.33333
4.66,4.16667
4.67,8.33333
4.68,8.33333
4.69,16.6667
4.7,8.33333
4.71,4.16667
4.72,8.33333
4.73,4.16667
4.74,12.5
4.75,4.16667
4.76,0
4.77,12.5
4.78,4.16667
4.79,8.33333
4.8,16.6667
4.81,8.33333
4.82,12.5
4.83,8.33333
4.84,4.16667
4.85,4.16667
4.86,8.33333
4.87,20.8333
4.88,4.16667
4.89,4.16667
4.9,8.33333
4.91,12.5
4.92,8.33333
4.93,16.6667
4.94,0
4.95,0
4.96,4.16667
4.97,8.33333
4.98,4.16667
4.99,8.33333
5,4.16667
5.01,4.16667
5.02,12.5
5.03,0
5.04,0
5.05,16.6667
5.06,8.33333
5.07,8.33333
5.08,0
5.09,12.5
5.1,8.33333
5.11,16.6667
5.12,12.5
5.13,4.16667
5.14,8.33333
5.15,8.33333
5.16,12.5
5.17,20.8333
5.18,0
5.19,0
5.2,8.33333
5.21,8.33333
5.22,0
5.23,0
5.24,4.16667
5.25,4.16667
5.26,0
