0,37450
0.01,30838.3
0.02,18873.3
0.03,8085
0.04,2481.67
0.05,1063.33
0.06,773.333
0.07,653.333
0.08,606.667
0.09,555
0.1,576.667
0.11,610
0.12,620
0.13,568.333
0.14,560
0.15,583.333
0.16,653.333
0.17,718.333
0.18,683.333
0.19,753.333
0.2,793.333
0.21,818.333
0.22,838.333

0.18,5803.33
0.19,6206.67
0.2,6298.33
0.21,6605
0.22,6703.33
0.23,7041.67
0.24,7336.67
0.25,7450
0.26,8003.33
0.27,8226.67
0.28,8505
0.29,8783.33
0.3,9056.67
0.31,9326.67
0.32,9423.33
0.33,10126.7
0.34,10133.3
0.35,10483.3
0.36,10715
0.37,10840
0.38,11096.7
0.39,11385
0.4,11718.3
0.41,11916.7
0.42,12153.3
0.43,12253.3
0.44,12513.3
0.45,12898.3
0.46,12740
0.47,12983.3
0.48,13258.3
0.49,13466.7
0.5,13813.3
0.51,13850
0.52,13813.3
0.53,14018.3
0.54,14393.3
0.55,13960
0.56,14233.3
0.57,13970
0.58,13498.3
0.59,12670
0.6,12395
0.61,11191.7
0.62,9736.67
0.63,8375
0.64,7036.67
0.65,5855
0.66,4856.67
0.67,4183.33
0.68,3625
0.69,3131.67
0.7,2761.67
0.71,2415
0.72,2208.33
0.73,2048.33
0.74,1765
0.75,1708.33
0.76,1566.67
0.77,1383.33

0.73,15300
0.74,13818.3
0.75,12340
0.76,11568.3
0.77,10466.7
0.78,9863.33
0.79,9308.33
0.8,8356.67
0.81,7818.33
0.82,7398.33
0.83,7061.67
0.84,6431.67
0.85,6160
0.86,5861.67
0.87,5601.67
0.88,5213.33
0.89,4850
0.9,4631.67
0.91,4325
0.92,4070
0.93,3888.33
0.94,3896.67
0.95,3590
0.96,3450
0.97,3216.67
0.98,3083.33
0.99,2896.67
1,2771.67
1.01,2740
1.02,2580
1.03,2495
1.04,2420
1.05,2188.33
1.06,2148.33
1.07,2000
1.08,1926.67
1.09,1940
1.1,1953.33
1.11,1706.67
1.12,1746.67
1.13,1616.67
1.14,1673.33
1.15,1595
1.16,1455
